Species,CommonName,Description
Pseudobarbus burchelli,Burchell's redfin,"The Burchell’s redfin, native to South African rivers. Endangered due to competition with invasive fish and water abstraction."
Pseudomugil paskai,Paska's blue-eye,"Paska’s blue-eye, a small rainbowfish from Papua New Guinea. It inhabits clear streams and is popular in aquaria."
Rheocles lateralis,,A Madagascar rainbowfish inhabiting forest streams. Its populations are threatened by deforestation and invasive species.
Scaturiginichthys vermeilipinnis,Redfin blue eye,"The redfin blue-eye, native to Queensland, Australia. It is critically endangered due to invasive gambusia and habitat decline."
Sedercypris erubescens,Twee redfin,A small cyprinid endemic to Turkey. It inhabits clear springs and streams but is endangered by groundwater extraction.
Sphaerophysa dianchiensis,,"A cyprinid from Lake Dianchi, China. It is nearly extinct in the wild due to pollution and introduced species."
Tampichthys dichroma,Bicolor minnow,"A small Mexican cyprinid known for its two-tone coloration. Endemic to freshwater streams, it is threatened by pollution."
Telestes polylepis,,"A European cyprinid restricted to Balkan rivers. It prefers clear, fast waters and is vulnerable to habitat disturbance."
Telestes turskyi,,"Endemic to Croatia’s Cetina River, this minnow is critically endangered. It has a small fragmented population."
Valencia hispanica,Valencia toothcarp,"The Valencia toothcarp, endemic to Spain’s coastal wetlands. It is critically endangered due to urbanization and water extraction."
Algansea lacustris,Pátzcuaro chub,A Mexican cyprinid inhabiting Lake Chapala. It is endemic and threatened by pollution and water level fluctuations.
Astroblepus formosus,,A catfish native to Colombian Andean streams. It clings to rocks in fast-flowing waters; highly localized distribution makes it vulnerable.
Astroblepus ubidiai,,"A catfish endemic to Ecuador. Found in mountain streams, it is endangered due to habitat degradation."
Bedotia tricolor,,"A rainbowfish from Madagascar with distinctive red, black, and white fin bands. It inhabits streams and is threatened by deforestation."
Cobitis jadovaensis,,A loach endemic to Croatia. It inhabits small karst rivers and is critically endangered due to limited range.
Cyprinus qionghaiensis,,A carp species from China’s Qionghai Lake. It is endemic and vulnerable due to overfishing and pollution.
Fundulus philpisteri,,"A killifish from North America. Inhabits shallow, vegetated waters but remains poorly studied."
Galaxias anomalus,,"The roundhead galaxias, endemic to New Zealand. It inhabits rivers and wetlands, but introduced trout have caused population declines."
Galaxias cobitinis,,"The lowland longjaw galaxias, a New Zealand endemic. It is critically endangered with very restricted distribution."
Galaxias eldoni,,"The Eldon’s galaxias, a small New Zealand freshwater fish. It is critically endangered due to predation by introduced trout."
Glossolepis dorityi,,"A rainbowfish from Lake Sentani, Papua. Males are brightly colored, but the species is endangered due to habitat alteration."
Sinocyclocheilus grahami,Golden-line barbel,"A cavefish endemic to Lake Dianchi basin, China. Adapted to dark habitats, it is threatened by pollution."
Amphilophus astorquii,Black midas cichlid,"A crater lake cichlid endemic to Lake Apoyo, Nicaragua. It is brightly colored and part of a unique species flock."
Amphilophus chancho,,"Another Lake Apoyo cichlid, robust-bodied and aggressive. It is important for studying sympatric speciation."
Amphilophus flaveolus,,A yellow-toned cichlid also restricted to Lake Apoyo. It displays ecological specialization and unique breeding behaviors.
Amphilophus zaliosus,Arrow cichlid,"The arrow cichlid, elongated and piscivorous, endemic to Lake Apoyo. It is endangered due to its very limited range."
Neosilurus gloveri,Dalhousie catfish,"A catfish from northern Australia. It inhabits slow-flowing rivers and floodplain lagoons, little known in detail."
Allomogurnda flavimarginata,,"A gudgeon from Papua New Guinea, marked with yellow fin edges. It inhabits streams and is little studied."
Allomogurnda multicincta,,"Another gudgeon from Papua New Guinea, recognized by multiple dark body bands. Prefers small creeks with rocky bottoms."
Allotoca zacapuensis,Zacapu allotoca,"A goodeid fish endemic to Lake Zacapu, Mexico. It is critically endangered by habitat degradation and invasive species."
Amphilophus globosus,,"A crater lake cichlid from Nicaragua, with a distinctive rounded body. It represents a recent evolutionary radiation."
Amphilophus supercilius,,"Another Nicaraguan crater lake cichlid, with a prominent supraorbital ridge. It is part of the species flock in Lake Apoyo."
Anabarilius andersoni,,"A cyprinid from Yunnan, China. It inhabits mountain streams and is considered endangered."
Anabarilius qiluensis,,"Endemic to Yunnan, this cyprinid prefers clear rivers. Its range is very restricted."
Anabarilius yangzonensis,,Another Yunnan cyprinid with localized distribution. Threatened by habitat degradation.
Atherinella jiloaensis,,"A silverside from Lake Jiloa, Nicaragua. Endemic and poorly studied, but likely threatened."
Capoeta pestai,Eğirdir barb,"The Antalya barb, a cyprinid from Turkey. Critically endangered due to water extraction and habitat loss."
Chirostoma aculeatum,Scowling silverside,A silverside endemic to Mexico’s lakes. It forms schools and supports local fisheries.
Chirostoma charari,Least silverside,Another Mexican silverside from highland lakes. Threatened by pollution and introduced species.
Chirostoma melanoccus,Blunthead silverside,"Endemic to Mexican lakes, this silverside has limited range and is at risk from habitat changes."
Chlamydogobius squamigenus,Edgbaston goby,A goby from Australia’s desert springs. It is restricted to small habitats and vulnerable to drying events.
Clarias batu,,A catfish from Southeast Asia. It inhabits swamps and slow-moving rivers; often harvested for food.
Coregonus hoferi,,A cisco species from Europe. It inhabits deep lakes and feeds on plankton.
Coregonus pennantii,Gwyniad,"The Welsh whitefish, or gwyniad, native to Bala Lake, Wales. It is endangered due to eutrophication."
Coregonus trybomi,,"A cisco native to Scandinavia. Inhabits deep cold lakes, now rare."
Cyprinus barbatus,,A carp species from China’s Yunnan lakes. It is endemic and endangered by habitat loss.
Cyprinus fuxianensis,,"Another carp endemic to Lake Fuxian, China. Its populations are declining due to pollution."
Cyprinus yunnanensis,,"Endemic to Yunnan Province, China. This carp has a restricted range and is vulnerable."
Delminichthys jadovensis,,A cyprinid from karst rivers of Croatia. It is critically endangered due to its narrow range.
Delminichthys krbavensis,,"Another Croatian endemic cyprinid. Lives in karst waters, with very small population."
Etheostoma segrex,Río Salado darter,A darter from the USA. Prefers riffle habitats in rivers; little is known about its conservation.
Galaxias gollumoides,,"The Gollum galaxias, endemic to New Zealand. Small-bodied and threatened by trout."
Galaxias macronasus,,A New Zealand galaxias with an unusually large snout. Endangered due to predation and habitat alteration.
Galaxias prognathus,Longjawed galaxias,Another long-jawed galaxias species endemic to New Zealand. Highly localized distribution makes it vulnerable.
Galaxias pullus,,"A rare galaxias from South Island, New Zealand. Populations are critically endangered."
Gobiesox juniperoserrai,Peninsular clingfish,A clingfish endemic to Mexico. It uses its modified pelvic fins as a suction disc to cling to rocks in fast-flowing waters.
Gymnocephalus ambriaelacus,,"A perch-like fish endemic to Lake Ammersee in Germany. It inhabits deep, cold waters, preying on benthic invertebrates, and is considered threatened due to its very restricted distribution."
Haplochromis bareli,,"A cichlid from Lake Victoria, showing variable coloration and morphology depending on habitat. It is part of the diverse haplochromine radiation but is threatened by Nile perch predation and eutrophication."
Haplochromis pyrrhopteryx,,"Endemic to Lake Victoria, this cichlid has reddish fins and occupies nearshore habitats. It feeds on small invertebrates and algae, but populations have declined sharply since Nile perch introduction."
Haplochromis ushindi,,A Lake Victoria haplochromine adapted to rocky littoral habitats. It is threatened by habitat degradation and invasive predators.
Haplochromis vonlinnei,,"Another Lake Victoria cichlid, distinguished by its unique jaw morphology suited for specialized feeding. Many such species are now endangered or extinct."
Iberochondrostoma almacai,,A small cyprinid endemic to southern Portugal. It inhabits clear streams and is endangered due to water extraction and introduced species.
Iberochondrostoma oretanum,,A critically endangered Iberian minnow restricted to a few streams in Spain. It is highly vulnerable to drought and invasive fish.
Kiunga bleheri,,"A blue-eye fish from Papua New Guinea, notable for its vibrant coloration. It inhabits rainforest streams and is rare in the wild."
Mogurnda maccuneae,,"A gudgeon endemic to Papua New Guinea, found in upland creeks. Known for benthic behavior, but poorly studied."
Mogurnda mosa,,"Another small gudgeon from Papua New Guinea streams. It prefers shallow, rocky habitats."
Mogurnda thermophila,Dalhousie mogurnda,"A freshwater gudgeon inhabiting thermal springs in Papua New Guinea. Adapted to warm waters, but its range is extremely restricted."
Neolebias lozii,Banded neolebias,A small characin from African rivers. It forms schools in shallow vegetated habitats and is part of local food webs.
